word,translation,explanation
你好,hello,"""hello"" 是最常見的問候語，正式或非正式場合都適用；口語中常簡化成 ""hi""。"
世界,world,"""world"" 指「世界」，常見片語如 ""all over the world""（全世界）。"
貓咪,cat,"""cat"" 是貓的統稱；暱稱可以說 ""kitty"" 或 ""kitten""（小貓）。"
狗狗,dog,"""dog"" 是狗的統稱；暱稱是 ""doggy"" 或 ""puppy""（小狗）。"
電腦,computer,"""computer"" 源自 ""compute""（計算）+ ""-er""（...的東西），字面就是「計算的機器」。"
鍵盤,keyboard,"""keyboard"" 由 ""key""（鍵）+ ""board""（板）組成，也可指鋼琴等樂器的鍵盤。"
螢幕,monitor,"""monitor"" 除了「螢幕」，也可當動詞，意思是「監控、監測」。"
滑鼠,mouse,"""mouse"" 原指老鼠，電腦滑鼠借用其外形命名；複數形是不規則的 ""mice""。"
喇叭,speaker,"""speaker"" 由 ""speak""（說話）+ ""-er"" 組成，除了「喇叭」，也可指「演講者」。"
桌子,table,"""table"" 除了「桌子」，也常見於片語 ""table of contents""（目錄）。"
椅子,chair,"""chair"" 除了「椅子」，也可當動詞，意思是「主持（會議）」。"
書本,book,"""book"" 除了「書」，也可當動詞用，意思是「預訂」，如 ""book a hotel""。"
筆,pen,"""pen"" 專指原子筆、鋼筆一類的筆；鉛筆要說 ""pencil""。"
電話,phone,"""phone"" 是 ""telephone"" 的縮寫，日常口語幾乎都直接說 ""phone""。"
衣服,shirt,"""shirt"" 通常指有領子、扣子的襯衫；T恤要說 ""T-shirt""。"
鞋子,shoes,"""shoes"" 通常用複數形，因為鞋子成雙出現，跟中文「一雙鞋」概念相似。"
太陽,sun,"""sun"" 前面通常要加定冠詞說 ""the sun""，因為世界上只有一個太陽。"
月亮,moon,"""moon"" 同樣常用 ""the moon""，指地球唯一的衛星。"
星星,star,"""star"" 除了「星星」，也常用來指「明星」，如 ""movie star""。"
是 / 在,be,"""be"" 是英文最重要的動詞之一，會隨主詞與時態變化為 am/is/are/was/were。"
有,have,"""have"" 除了表示「擁有」，也常用來構成完成式，如 ""have done""。"
